"xi", "ai", "Std. Error", "t Value"
"SiO2", "2.271E+03", "8.118", "2.797E+02"
"B2O3", "1.940E+03", "9.144", "2.121E+02"
"Al2O3", "2.734E+03", "4.014E+01", "6.810E+01"
"MgO", "3.071E+03", "3.705E+01", "8.291E+01"
"CaO", "3.363E+03", "2.280E+01", "1.475E+02"
"Na2O", "2.942E+03", "2.173E+01", "1.354E+02"
"Cu2O", "5.454E+03", "3.303E+02", "1.651E+01"
"Ag2O", "8.513E+03", "1.238E+02", "6.877E+01"
"MnO", "4.182E+03", "5.751E+01", "7.271E+01"
"FeO", "4.514E+03", "4.755E+01", "9.495E+01"
"CoO", "4.538E+03", "3.017E+02", "1.504E+01"
"NiO", "8.351E+03", "3.796E+03", "2.2"
"CuO", "5.290E+03", "1.246E+02", "4.245E+01"
"ZnO", "5.048E+03", "4.217E+01", "1.197E+02"
"PbO", "9.264E+03", "2.166E+01", "4.278E+02"
"Cr2O3", "2.432E+05", "3.552E+05", "6.847E-01"
"Fe2O3", "4.797E+03", "1.069E+02", "4.486E+01"
"ZrO2", "5.286E+03", "2.049E+02", "2.580E+01"
"V2O5", "2.879E+03", "1.055E+02", "2.728E+01"
"SO3", "-9.402E+03", "3.619E+04", "-2.598E-01"
"Xx", "4.408E+03", "1.928E+03", "2.287"
