No., Glass No., Data Source, Year, Data Source Number, SiO2, Al2O3, MgO, CaO, Na2O, Fracture Toughness ( MPa.m1/2 ), Fracture Toughness (Predictive Value), Fracture Toughness (Residual)
1, GI02-008300, Proc. ICG, 1983, v. 002  p. 1112, 80.0, , , , 20.0, 0.679, , 
2, GI02-008301, Proc. ICG, 1983, v. 002  p. 1112, 90.0, , , , 10.0, 0.834, , 
3, GJ02-010146, J. American Ceramic Soc., 1980, v. 063  p. 0286, 80.0, , , , 20.0, 0.86, , 
4, GJ02-037026, J. American Ceramic Soc., 1978, v. 061  p. 0027, 60.0, , , , 40.0, 0.615, , 
5, GJ02-037027, J. American Ceramic Soc., 1978, v. 061  p. 0027, 60.0, 8.0, , , 32.0, 0.64, , 
6, GJ02-037028, J. American Ceramic Soc., 1978, v. 061  p. 0027, 60.0, 16.0, , , 24.0, 0.615, , 
7, GJ06-037029, J. American Ceramic Soc., 1978, v. 061  p. 0027, 60.0, 20.0, , , 20.0, 0.67, , 
8, GJ06-037030, J. American Ceramic Soc., 1978, v. 061  p. 0027, 60.0, 22.5, , , 17.5, 0.69, , 
9, GJ02-037031, J. American Ceramic Soc., 1978, v. 061  p. 0027, 80.0, , , , 20.0, 0.58, , 
10, GJ02-037032, J. American Ceramic Soc., 1978, v. 061  p. 0027, 75.0, 5.0, , , 20.0, 0.67, , 
11, GJ02-037033, J. American Ceramic Soc., 1978, v. 061  p. 0027, 70.0, 10.0, , , 20.0, 0.63, , 
12, GJ06-037034, J. American Ceramic Soc., 1978, v. 061  p. 0027, 56.0, 24.0, , , 20.0, 0.665, , 
13, GJ03-037035, J. American Ceramic Soc., 1978, v. 061  p. 0027, 60.0, 8.0, , 32.0, , 0.6, , 
14, GJ03-037036, J. American Ceramic Soc., 1978, v. 061  p. 0027, 60.0, 13.33, , 26.67, , 0.645, , 
15, GJ03-037037, J. American Ceramic Soc., 1978, v. 061  p. 0027, 60.0, 20.0, , 20.0, , 0.66, , 
16, GJ06-037038, J. American Ceramic Soc., 1978, v. 061  p. 0027, 60.0, 17.5, , 22.5, , 0.66, , 
17, GJ02-045515, Physics and Chemistry of  Glasses, 1980, v. 021  p. 0099, 67.0, , , , 33.0, 0.927, , 
18, GJ02-045516, Physics and Chemistry of  Glasses, 1980, v. 021  p. 0099, 71.0, , , , 29.0, 0.87, , 
19, GJ02-045517, Physics and Chemistry of  Glasses, 1980, v. 021  p. 0099, 75.0, , , , 25.0, 0.869, , 
20, GJ02-045518, Physics and Chemistry of  Glasses, 1980, v. 021  p. 0099, 80.0, , , , 20.0, 0.814, , 
21, GJ02-045519, Physics and Chemistry of  Glasses, 1980, v. 021  p. 0099, 85.0, , , , 15.0, 0.8, , 
22, GJ02-046093, J. Non-Crystalline Solids, 1983, v. 056  p. 0161, 74.99, , , , 25.01, 0.86, , 
23, GJ02-046098, J. Non-Crystalline Solids, 1983, v. 056  p. 0161, 66.68, , , 11.03, 22.29, 0.87, , 
24, GI02-047430, Proc. ICG, 1986, v. 001  p. 0225, 73.79, , , 10.7, 15.5, 0.8, , 
25, GI02-047453, Proc. ICG, 1986, v. 001  p. 0225, 74.99, , , , 25.0, 1.3, , 
26, GI02-081689, Proc. ICG, 2001, v. 002  p. 0233, 75.0, , , 10.0, 15.0, 0.98, , 
27, GI02-081690, Proc. ICG, 2001, v. 002  p. 0233, 75.0, , 2.5, 7.5, 15.0, 1.24, , 
28, GI02-081691, Proc. ICG, 2001, v. 002  p. 0233, 75.0, , 3.75, 6.25, 15.0, 1.09, , 
29, GI02-081692, Proc. ICG, 2001, v. 002  p. 0233, 75.0, , 5.0, 5.0, 15.0, 0.86, , 
30, GI02-081693, Proc. ICG, 2001, v. 002  p. 0233, 75.0, , 6.25, 3.75, 15.0, 0.99, , 
31, GI02-081694, Proc. ICG, 2001, v. 002  p. 0233, 75.0, , 7.5, 2.5, 15.0, 0.82, , 
32, GI02-081695, Proc. ICG, 2001, v. 002  p. 0233, 75.0, , 10.0, , 15.0, 0.92, , 
33, GJ02-087942, J. Non-Crystalline Solids, 1984, v. 064  p. 0249, 77.36, , , 8.06, 14.58, 0.75, , 
34, GJ02-087943, J. Non-Crystalline Solids, 1984, v. 064  p. 0249, 69.57, , , 15.97, 14.45, 0.7, , 
35, GJ02-087944, J. Non-Crystalline Solids, 1984, v. 064  p. 0249, 74.66, , , 12.79, 12.54, 0.75, , 
36, GJ02-087945, J. Non-Crystalline Solids, 1984, v. 064  p. 0249, 79.67, , , 10.67, 9.65, 0.65, , 
37, GJ02-087946, J. Non-Crystalline Solids, 1984, v. 064  p. 0249, 84.96, , , 5.35, 9.69, 0.67, , 
38, GJ02-087947, J. Non-Crystalline Solids, 1984, v. 064  p. 0249, 84.79, , , 7.48, 7.73, 0.82, , 
39, GJ02-088394, J. Non-Crystalline Solids, 1980, v. 037  p. 0359, 92.5, , , , 7.5, 1.12, , 
40, GJ02-088395, J. Non-Crystalline Solids, 1980, v. 037  p. 0359, 87.5, , , , 12.5, 1.1, , 
41, GJ02-088396, J. Non-Crystalline Solids, 1980, v. 037  p. 0359, 80.0, , , , 20.0, 0.86, , 
42, GJ02-088397, J. Non-Crystalline Solids, 1980, v. 037  p. 0359, 70.0, , , , 30.0, 0.91, , 
43, GJ02-088398, J. Non-Crystalline Solids, 1980, v. 037  p. 0359, 62.5, , , , 37.5, 1.03, , 
44, GJ02-088399, J. Non-Crystalline Solids, 1980, v. 037  p. 0359, 55.0, , , , 45.0, 0.9, , 
45, GI02-095962, Proc. ICG, 2001, v. 002  p. 0233, 66.67, , , , 33.33, 1.06, , 
46, GI02-095967, Proc. ICG, 2001, v. 002  p. 0233, 70.0, , , 10.0, 20.0, 0.71, , 
47, GJ02-141505, J. Materials Science, 1993, v. 028  p. 3014, 70.0, 1.0, 6.0, 6.0, 17.0, 0.85, , 
48, GJ03-146876, J. Ceramic Soc. Japan, 1993, v. 101  p. 1264, 55.6, 22.2, 22.2, , , 0.95, , 
49, GJ03-156498, Glass Technology, 1994, v. 035  p. 0276, 60.0, , , 40.0, , 0.91, , 
50, GJ06-173167, J. Non-Crystalline Solids, 1997, v. 217  p. 0066, 45.0, 30.0, 10.0, 15.0, , 1.3, , 
51, GJ06-173173, J. Non-Crystalline Solids, 1997, v. 217  p. 0066, 45.0, 30.0, 5.0, 20.0, , 1.3, , 
52, GJ06-173179, J. Non-Crystalline Solids, 1997, v. 217  p. 0066, 40.0, 30.0, 10.0, 20.0, , 1.07, , 
53, GJ06-173185, J. Non-Crystalline Solids, 1997, v. 217  p. 0066, 40.0, 30.0, 5.0, 25.0, , 1.2, , 
54, GJ02-178201, J. American Ceramic Soc., 1998, v. 081  p. 2485, 80.0, , , 5.0, 15.0, 0.9, , 
55, GJ02-178202, J. American Ceramic Soc., 1998, v. 081  p. 2485, 80.0, , , 10.0, 10.0, 0.92, , 
56, GJ02-178203, J. American Ceramic Soc., 1998, v. 081  p. 2485, 75.0, , , 5.0, 20.0, 0.83, , 
57, GJ02-178204, J. American Ceramic Soc., 1998, v. 081  p. 2485, 75.0, , , 10.0, 15.0, 0.88, , 
58, GJ02-178205, J. American Ceramic Soc., 1998, v. 081  p. 2485, 75.0, , , 15.0, 10.0, 0.88, , 
59, GJ02-178206, J. American Ceramic Soc., 1998, v. 081  p. 2485, 70.0, , , 10.0, 20.0, 0.8, , 
60, GJ02-185125, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 78.0, 2.0, 5.0, , 15.0, 0.93, , 
61, GJ02-185127, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 78.0, 2.0, 4.0, 1.0, 15.0, 0.93, , 
62, GJ02-185131, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 77.23, 1.98, 2.97, 2.97, 14.85, 0.92, , 
63, GJ02-185132, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 80.0, , , 5.0, 15.0, 0.9, , 
64, GJ02-185136, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 75.0, , , , 25.0, 0.86, , 
65, GJ02-185137, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 80.0, , , 10.0, 10.0, 0.92, , 
66, GJ02-185138, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 75.0, , , 5.0, 20.0, 0.83, , 
67, GJ02-185139, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 73.0, 6.0, , 5.0, 16.0, 0.94, , 
68, GJ02-185141, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 64.0, 13.0, , 6.0, 17.0, 0.94, , 
69, GJ02-185142, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 78.0, 2.0, , 5.0, 15.0, 0.93, , 
70, GJ02-185144, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 75.0, , , 10.0, 15.0, 0.88, , 
71, GJ06-185145, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 55.0, 21.0, , 6.0, 18.0, 0.89, , 
72, GJ02-185146, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 75.0, , , 15.0, 10.0, 0.88, , 
73, GJ02-185147, J. Non-Crystalline Solids, 1999, v. 253  p. 0126, 70.0, , , 10.0, 20.0, 0.8, , 
74, GI06-191648, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 50.01, 25.01, , , 24.98, 0.86, , 
75, GI06-191656R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 60.0, 15.0, 15.0, , 10.0, 1.07, , 
76, GI06-191657R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 59.7, 15.34, , 14.97, 9.99, 0.84, , 
77, GI03-191740R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 65.15, 6.57, 8.18, 20.1, , 0.8, , 
78, GI03-191741R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 65.3, 7.39, 12.84, 14.47, , 0.96, , 
79, GI03-191742R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 64.53, 7.65, 17.68, 10.14, , 1.02, , 
80, GI03-191913, NGF's Additional New Data (J), 2001, v. 004  p. 0011, 59.89, , 0.12, 21.43, 18.56, 0.6, , 
81, GJ02-194397, J. Non-Crystalline Solids, 2000, v. 263  p. 0207, 80.0, , , , 20.0, 0.8, , 
82, GJ02-203516, J. Non-Crystalline Solids, 2000, v. 272  p. 0034, 70.87, 0.35, 5.87, 10.13, 12.78, 0.9, , 
83, GJ02-207737, J. Ceramic Soc. Japan, 2001, v. 109  p. 0511, 80.0, , , , 20.0, 0.81, , 
84, GJ02-208349, J. Materials Science, 2001, v. 035  p. 2427, 73.0, , , 13.0, 14.0, 0.75, , 
85, GI02-219405, Proc. ICG, 2002, v. P1D  p. 0008, 71.25, 1.12, 5.94, 8.44, 13.25, 0.75, , 
86, GJ02-228907, J. Non-Crystalline Solids, 2003, v. 316  p. 0054, 75.58, , , 10.77, 13.65, 0.72, , 
87, GJ02-228908, J. Non-Crystalline Solids, 2003, v. 316  p. 0054, 71.0, , , 11.5, 17.5, 0.71, , 
88, GJ02-228909, J. Non-Crystalline Solids, 2003, v. 316  p. 0054, 74.0, , , 10.3, 15.7, 0.7, , 
89, GJ02-228910, J. Non-Crystalline Solids, 2003, v. 316  p. 0054, 77.0, , , 9.1, 13.9, 0.76, , 
90, GJ02-228911, J. Non-Crystalline Solids, 2003, v. 316  p. 0054, 80.0, , , 7.9, 12.1, 0.82, , 
91, GJ02-228926, J. Non-Crystalline Solids, 2003, v. 316  p. 0153, 70.87, 0.35, 5.87, 10.13, 12.78, 0.7, , 
92, GJ02-241086, J. Materials Science, 1987, v. 022  p. 1682, 81.0, 4.0, , , 15.0, 0.714, , 
93, GI02-245501, Proc. Japan Cong. Materials Res. (J), 1991, v. 034  p. 0149, 70.28, , , 5.38, 24.34, 0.77, , 
94, GI02-257644, Proc. ICG, 2004, v. 007  p. 0019, 71.0, , , 11.5, 17.5, 0.7, , 
95, GI02-257645, Proc. ICG, 2004, v. 007  p. 0019, 74.0, , , 10.3, 15.7, 0.71, , 
96, GI02-257646, Proc. ICG, 2004, v. 007  p. 0019, 77.0, , , 9.1, 13.9, 0.76, , 
97, GI02-257647, Proc. ICG, 2004, v. 007  p. 0019, 80.0, , , 7.9, 12.1, 0.82, , 
98, GJ02-258697, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 78.0, 2.0, , 5.0, 15.0, 0.75, , 
99, GJ02-258698, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 78.0, 2.0, 2.5, 2.5, 15.0, 0.77, , 
100, GJ02-258699, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 78.0, 2.0, 5.0, , 15.0, 0.79, , 
101, GJ02-258700, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 75.0, 2.0, 6.0, , 17.0, 0.78, , 
102, GJ02-258701, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 75.0, 6.0, 2.0, , 17.0, 0.76, , 
103, GJ02-258705, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 71.0, , , 11.5, 17.5, 0.71, , 
104, GJ02-258706, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 74.0, , , 10.3, 15.7, 0.7, , 
105, GJ02-258707, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 77.0, , , 9.1, 13.9, 0.76, , 
106, GJ02-258708, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 80.0, , , 7.9, 12.1, 0.82, , 
107, GJ02-258709, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 80.0, , 6.0, , 14.0, 0.74, , 
108, GJ02-258710, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 76.0, , 10.0, , 14.0, 0.78, , 
109, GJ02-258711, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 72.0, , 14.0, , 14.0, 0.82, , 
110, GJ02-259428, J. Non-Crystalline Solids, 2004, v. 344  p. 0037, 73.3, , , , 26.7, 0.96, , 
111, GJ02-259429, J. Non-Crystalline Solids, 2004, v. 344  p. 0037, 69.5, 5.4, , , 25.1, 0.95, , 
