SiO2,MgO,Na2O,Al2O3,CaO,Toughness
80.0,0.0,20.0,0.0,0.0,0.679
90.0,0.0,10.0,0.0,0.0,0.834
80.0,0.0,20.0,0.0,0.0,0.86
60.0,0.0,40.0,0.0,0.0,0.615
60.0,0.0,32.0,8.0,0.0,0.64
60.0,0.0,24.0,16.0,0.0,0.615
60.0,0.0,20.0,20.0,0.0,0.67
60.0,0.0,17.5,22.5,0.0,0.69
80.0,0.0,20.0,0.0,0.0,0.58
75.0,0.0,20.0,5.0,0.0,0.67
70.0,0.0,20.0,10.0,0.0,0.63
56.0,0.0,20.0,24.0,0.0,0.665
60.0,0.0,0.0,8.0,32.0,0.6
60.0,0.0,0.0,13.33,26.67,0.645
60.0,0.0,0.0,20.0,20.0,0.66
60.0,0.0,0.0,17.5,22.5,0.66
67.0,0.0,33.0,0.0,0.0,0.927
71.0,0.0,29.0,0.0,0.0,0.87
75.0,0.0,25.0,0.0,0.0,0.869
80.0,0.0,20.0,0.0,0.0,0.814
85.0,0.0,15.0,0.0,0.0,0.8
74.99,0.0,25.01,0.0,0.0,0.86
66.68,0.0,22.29,0.0,11.03,0.87
73.79,0.0,15.5,0.0,10.7,0.8
74.99,0.0,25.0,0.0,0.0,1.3
75.0,0.0,15.0,0.0,10.0,0.98
75.0,2.5,15.0,0.0,7.5,1.24
75.0,3.75,15.0,0.0,6.25,1.09
75.0,5.0,15.0,0.0,5.0,0.86
75.0,6.25,15.0,0.0,3.75,0.99
75.0,7.5,15.0,0.0,2.5,0.82
75.0,10.0,15.0,0.0,0.0,0.92
77.36,0.0,14.58,0.0,8.06,0.75
69.57,0.0,14.45,0.0,15.97,0.7
74.66,0.0,12.54,0.0,12.79,0.75
79.67,0.0,9.65,0.0,10.67,0.65
84.96,0.0,9.69,0.0,5.35,0.67
84.79,0.0,7.73,0.0,7.48,0.82
92.5,0.0,7.5,0.0,0.0,1.12
87.5,0.0,12.5,0.0,0.0,1.1
70.0,0.0,30.0,0.0,0.0,0.91
62.5,0.0,37.5,0.0,0.0,1.03
55.0,0.0,45.0,0.0,0.0,0.9
66.67,0.0,33.33,0.0,0.0,1.06
70.0,0.0,20.0,0.0,10.0,0.71
70.0,6.0,17.0,1.0,6.0,0.85
55.6,22.2,0.0,22.2,0.0,0.95
60.0,0.0,0.0,0.0,40.0,0.91
45.0,10.0,0.0,30.0,15.0,1.3
45.0,5.0,0.0,30.0,20.0,1.3
40.0,10.0,0.0,30.0,20.0,1.07
40.0,5.0,0.0,30.0,25.0,1.2
80.0,0.0,15.0,0.0,5.0,0.9
80.0,0.0,10.0,0.0,10.0,0.92
75.0,0.0,20.0,0.0,5.0,0.83
75.0,0.0,15.0,0.0,10.0,0.88
75.0,0.0,10.0,0.0,15.0,0.88
70.0,0.0,20.0,0.0,10.0,0.8
78.0,5.0,15.0,2.0,0.0,0.93
78.0,4.0,15.0,2.0,1.0,0.93
77.23,2.97,14.85,1.98,2.97,0.92
75.0,0.0,25.0,0.0,0.0,0.86
73.0,0.0,16.0,6.0,5.0,0.94
64.0,0.0,17.0,13.0,6.0,0.94
78.0,0.0,15.0,2.0,5.0,0.93
55.0,0.0,18.0,21.0,6.0,0.89
50.01,0.0,24.98,25.01,0.0,0.86
60.0,15.0,10.0,15.0,0.0,1.07
59.7,0.0,9.99,15.34,14.97,0.84
65.15,8.18,0.0,6.57,20.1,0.8
65.3,12.84,0.0,7.39,14.47,0.96
64.53,17.68,0.0,7.65,10.14,1.02
59.89,0.12,18.56,0.0,21.43,0.6
80.0,0.0,20.0,0.0,0.0,0.8
70.87,5.87,12.78,0.35,10.13,0.9
80.0,0.0,20.0,0.0,0.0,0.81
73.0,0.0,14.0,0.0,13.0,0.75
71.25,5.94,13.25,1.12,8.44,0.75
75.58,0.0,13.65,0.0,10.77,0.72
71.0,0.0,17.5,0.0,11.5,0.71
74.0,0.0,15.7,0.0,10.3,0.7
77.0,0.0,13.9,0.0,9.1,0.76
80.0,0.0,12.1,0.0,7.9,0.82
70.87,5.87,12.78,0.35,10.13,0.7
81.0,0.0,15.0,4.0,0.0,0.714
70.28,0.0,24.34,0.0,5.38,0.77
