"xi", "ai", "Std. Error", "t Value"
"SiO2", "7.607E-01", "7.371E-02", "1.032E+01"
"Al2O3", "3.577", "8.974E-01", "3.986"
"MgO", "-4.789E-01", "1.044", "-4.588E-01"
"CaO", "-7.731E-01", "5.153E-01", "-1.5"
"Na2O", "1.226", "8.800E-01", "1.393"
"ZnO", "-1.354", "1.4", "-9.671E-01"
"PbO", "1.081E-01", "1.008E-01", "1.073"
"Cr2O3", "2.448", "7.600E-01", "3.221"
"Fe2O3", "1.809", "6.565E-01", "2.755"
"ZrO2", "4.713E+02", "1.937E+02", "2.433"
"BaO", "1.027", "4.36", "2.356E-01"
"Li2O", "-9.993E-01", "1.552", "-6.440E-01"
"K2O", "5.602E-01", "1.45", "3.864E-01"
"CuO", "-5.427E-01", "5.256E-01", "-1.032"
"SrO", "-2.51", "1.058E+01", "-2.372E-01"
"As2O3", "-2.330E+01", "2.640E+01", "-8.825E-01"
"Y2O3", "1.772", "4.330E-01", "4.091"
"Sb2O3", "-3.022E+02", "3.044E+03", "-9.928E-02"
"La2O3", "2.660E+01", "1.891E+01", "1.407"
"Nd2O3", "9.210E-01", "2.122", "4.341E-01"
"TiO2", "7.615", "3.815", "1.996"
"CeO2", "2.386", "8.851E-01", "2.695"
"SnO2", "-2.210E+02", "1.287E+02", "-1.717"
"TeO2", "3.774E-01", "5.516E-01", "6.843E-01"
"P2O5", "3.796E-01", "3.203E-01", "1.185"
"Nb2O5", "-4.45", "2.957", "-1.505"
"H2O", "4.751E-01", "5.440E-01", "8.734E-01"
"Er2O3", "-2.753", "4.205E+01", "-6.548E-02"
"Yb2O3", "1.802", "1.483", "1.215"
"N", "2.27", "4.252E-01", "5.339"
"Si3N4", "1.252", "7.295E-01", "1.716"
"SiO2*B2O3", "-2.601E+04", "0", "0"
"SiO2*Al2O3", "-6.945E-01", "1.491", "-4.659E-01"
"SiO2*MgO", "4.603", "1.876", "2.454"
"SiO2*CaO", "3.751", "1.033", "3.632"
"SiO2*Na2O", "2.819E-01", "1.409", "2.001E-01"
"SiO2*ZnO", "4.979", "4.101", "1.214"
"SiO2*ZrO2", "-5.923E+02", "2.533E+02", "-2.339"
"SiO2*BaO", "-3.417", "5.748", "-5.946E-01"
"SiO2*Li2O", "4.241", "2.29", "1.852"
"SiO2*K2O", "3.929", "2.2", "1.786"
"SiO2*SrO", "2.05", "1.433E+01", "1.431E-01"
"SiO2*Sb2O3", "3.278E+03", "3.346E+03", "9.798E-01"
"SiO2*La2O3", "-3.139E+01", "2.262E+01", "-1.388"
"SiO2*TiO2", "-8.939", "4.806", "-1.86"
"SiO2*P2O5", "-5.162E-01", "6.656E-01", "-7.756E-01"
"B2O3*Al2O3", "1.399E+05", "0", "0"
"B2O3*MgO", "2.092E+05", "0", "0"
"B2O3*CaO", "-1.175E+06", "8.113E+08", "-1.449E-03"
"B2O3*Na2O", "3.106E+05", "0", "0"
"B2O3*ZnO", "-4.060E+05", "4.345E+09", "-9.345E-05"
"B2O3*ZrO2", "8.309E+05", "1.096E+10", "7.581E-05"
"B2O3*BaO", "-4.738E+06", "0", "0"
"B2O3*Li2O", "-5.998E+03", "1.625E+09", "-3.692E-06"
"B2O3*K2O", "-5.825E+05", "0", "0"
"B2O3*SrO", "3.853E+06", "3.814E+10", "1.010E-04"
"B2O3*Sb2O3", "1.053E+07", "8.580E+10", "1.227E-04"
"B2O3*La2O3", "9.794E+06", "8.674E+10", "1.129E-04"
"B2O3*TiO2", "9.640E+05", "8.133E+09", "1.185E-04"
"B2O3*P2O5", "-1.816E+05", "0", "0"
"Al2O3*MgO", "-3.69", "5.304", "-6.957E-01"
"Al2O3*CaO", "4.468E-01", "2.934", "1.523E-01"
"Al2O3*Na2O", "-2.59", "4.461", "-5.805E-01"
"Al2O3*ZnO", "-3.936", "6.431", "-6.120E-01"
"Al2O3*ZrO2", "-3.303E+03", "8.412E+02", "-3.926"
"Al2O3*BaO", "5.551E-01", "6.79", "8.176E-02"
"Al2O3*Li2O", "-1.09", "7.279", "-1.497E-01"
"Al2O3*K2O", "-1.938E+01", "6.771", "-2.863"
"Al2O3*SrO", "2.836", "1.584E+01", "1.791E-01"
"Al2O3*Sb2O3", "2.995E+03", "3.865E+03", "7.748E-01"
"Al2O3*La2O3", "-3.878E+01", "1.808E+01", "-2.145"
"Al2O3*TiO2", "2.794E+01", "2.431E+01", "1.149"
"Al2O3*P2O5", "-2.953", "1.618", "-1.826"
"MgO*CaO", "8.978", "1.368", "6.561"
"MgO*Na2O", "-5.268", "1.841E+01", "-2.861E-01"
"MgO*ZnO", "-1.608", "3.195", "-5.034E-01"
