"xi", "ai", "Std. Error", "t Value"
"SiO2", "8.548E-01", "5.167E-02", "1.655E+01"
"B2O3", "1.094", "4.188E-02", "2.613E+01"
"Al2O3", "1.498", "6.426E-01", "2.332"
"MgO", "2.645E-01", "6.719E-01", "3.937E-01"
"CaO", "3.776E-01", "4.149E-01", "9.102E-01"
"Na2O", "9.397E-01", "6.808E-01", "1.38"
"CuO", "5.597E-01", "2.571E-01", "2.177"
"ZnO", "5.268E-01", "5.657E-01", "9.313E-01"
"PbO", "-1.067E-01", "6.936E-02", "-1.538"
"Cr2O3", "2.504", "6.701E-01", "3.736"
"Fe2O3", "1.463", "5.813E-01", "2.517"
"ZrO2", "-4.200E+01", "1.317E+01", "-3.188"
"BaO", "-6.768E-01", "1.947", "-3.477E-01"
"Li2O", "1.062", "1.141", "9.310E-01"
"K2O", "4.315", "1.246", "3.462"
"SrO", "-3.133", "2.699", "-1.161"
"As2O3", "5.178E+01", "2.133E+01", "2.427"
"Y2O3", "2.272", "3.623E-01", "6.271"
"Sb2O3", "6.481E+02", "9.516E+02", "6.811E-01"
"La2O3", "4.885E-02", "8.93", "5.471E-03"
"Nd2O3", "1.466", "1.757", "8.343E-01"
"TiO2", "1.075", "3.704", "2.901E-01"
"CeO2", "1.912", "8.410E-01", "2.274"
"TeO2", "2.458E-01", "4.078E-01", "6.027E-01"
"P2O5", "6.073E-01", "2.213E-01", "2.744"
"Nb2O5", "-2.213E-02", "1.054", "-2.101E-02"
"Er2O3", "1.701E+01", "3.356E+01", "5.067E-01"
"Yb2O3", "1.126", "4.173E-01", "2.699"
"MgF2", "-1.007", "1.357", "-7.417E-01"
"CaF2", "-3.408E-01", "1.92", "-1.775E-01"
"SrF2", "1.558E+01", "3.360E+02", "4.636E-02"
"AlF3", "-7.802", "2.008E+02", "-3.887E-02"
"N", "1.924", "3.903E-01", "4.929"
"Al", "-9.668E+03", "1.780E+04", "-5.430E-01"
"Ge", "6.913E-01", "8.934E-01", "7.739E-01"
"As", "5.596E-01", "3.026E-01", "1.849"
"Se", "1.184E-01", "9.029E-02", "1.312"
"Sb", "-1.474E-01", "2.627E-01", "-5.610E-01"
"Te", "2.859E-01", "2.097E-01", "1.364"
"Ga2Se3", "-4.433E-02", "2.299", "-1.929E-02"
"GeSe2", "2.757E-01", "4.199E-01", "6.564E-01"
"Si3N4", "1.638", "6.596E-01", "2.484"
"SiO2*B2O3", "-8.173E-01", "2.495E-01", "-3.276"
"SiO2*Al2O3", "1.047", "9.160E-01", "1.143"
"SiO2*MgO", "7.608E-01", "1.142", "6.661E-01"
"SiO2*CaO", "2.745E-01", "7.329E-01", "3.745E-01"
"SiO2*Na2O", "-8.266E-03", "1.03", "-8.024E-03"
"SiO2*ZnO", "8.061E-01", "1.765", "4.567E-01"
"SiO2*ZrO2", "5.604E+01", "1.676E+01", "3.343"
"SiO2*BaO", "-3.946E-02", "3.142", "-1.256E-02"
"SiO2*Li2O", "1.719", "1.7", "1.011"
