"xi", "ai", "Std. Error", "t Value"
"SiO2", "1.419E+03", "2.011E+01", "7.056E+01"
"Al2O3", "2.054E+03", "6.790E+01", "3.025E+01"
"MgO", "2.845E+03", "6.644E+02", "4.282"
"CaO", "1.196E+03", "4.710E+01", "2.538E+01"
"Na2O", "2.718E+03", "1.837E+02", "1.479E+01"
"MnO", "4.706E+02", "1.148E+02", "4.1"
"FeO", "2.507E+02", "2.254E+02", "1.112"
"NiO", "-5.807E+01", "2.318E+02", "-2.505E-01"
"ZnO", "1.638E+03", "1.993E+02", "8.218"
"PbO", "1.943E+02", "5.323E+01", "3.65"
"Cr2O3", "4.945E+04", "7.281E+03", "6.792"
"Fe2O3", "2.897E+03", "8.347E+02", "3.471"
"ZrO2", "2.940E+03", "8.195E+01", "3.587E+01"
"SO3", "2.750E+01", "4.116E+02", "6.683E-02"
"BaO", "2.177E+03", "4.744E+02", "4.589"
"Li2O", "2.785E+03", "2.259E+02", "1.233E+01"
"K2O", "2.969E+03", "7.324E+02", "4.054"
"SrO", "1.828E+03", "8.086E+02", "2.261"
"Ga2O3", "1.499E+03", "8.336E+01", "1.798E+01"
"As2O3", "-5.397E+04", "1.078E+04", "-5.008"
"Y2O3", "1.105E+03", "1.383E+02", "7.994"
"Sb2O3", "1.703E+05", "9.850E+04", "1.729"
"La2O3", "3.905E+03", "1.495E+04", "2.612E-01"
"Nd2O3", "2.306E+03", "2.380E+03", "9.688E-01"
"Gd2O3", "2.003E+03", "3.921E+03", "5.109E-01"
"Bi2O3", "-2.108E+02", "5.920E+02", "-3.561E-01"
"TiO2", "2.009E+03", "6.166E+01", "3.257E+01"
"GeO2", "1.196E+03", "2.772E+01", "4.315E+01"
"CeO2", "-4.278E+02", "1.475E+03", "-2.900E-01"
"SnO2", "-4.357E+03", "3.109E+03", "-1.402"
"P2O5", "1.085E+03", "9.075E+01", "1.196E+01"
"Nb2O5", "1.139E+04", "5.244E+03", "2.172"
"Ta2O5", "3.429E+02", "1.164E+03", "2.947E-01"
"WO3", "-4.544E+02", "1.301E+02", "-3.493"
"F", "1.371E+02", "2.554E+02", "5.368E-01"
"Cl", "-1.021E+04", "1.492E+04", "-6.844E-01"
"SiO2*B2O3", "-3.233E+04", "1.014E+04", "-3.188"
"SiO2*Al2O3", "4.637E+02", "2.364E+02", "1.961"
"SiO2*MgO", "-1.807E+03", "1.097E+03", "-1.648"
"SiO2*CaO", "2.519E+01", "1.227E+02", "2.052E-01"
"SiO2*Na2O", "-4.793E+03", "3.071E+02", "-1.561E+01"
"SiO2*ZnO", "-1.781E+03", "5.184E+02", "-3.435"
"SiO2*Fe2O3", "-5.007E+03", "1.418E+03", "-3.53"
"SiO2*ZrO2", "6.025E+02", "3.733E+02", "1.614"
"SiO2*BaO", "-1.371E+03", "7.148E+02", "-1.917"
"SiO2*Li2O", "-3.869E+03", "3.729E+02", "-1.038E+01"
"SiO2*K2O", "-4.161E+03", "1.075E+03", "-3.868"
"SiO2*SrO", "-2.190E+03", "1.065E+03", "-2.057"
"SiO2*Sb2O3", "-4.150E+05", "1.394E+05", "-2.977"
"SiO2*La2O3", "-1.029E+04", "1.417E+04", "-7.260E-01"
