

No., Glass No., Data Source, Year, Data Source Number, SiO2, Al2O3, MgO, CaO, Na2O, Liquidus Temperature ( C ), Liquidus Temperature (Predictive Value), Liquidus Temperature (Residual)
1, GI02-016259, Proc. ICG, 1986, v. 001  p. 0090, 70.0, , , , 30.0, 859.0, , 
2, GI02-016260, Proc. ICG, 1986, v. 001  p. 0090, 67.0, , , , 33.0, 874.0, , 
3, GI02-016261, Proc. ICG, 1986, v. 001  p. 0090, 60.0, , , , 40.0, 950.0, , 
4, GI02-016262, Proc. ICG, 1986, v. 001  p. 0090, 50.0, , , , 50.0, 1088.0, , 
5, GI03-025024, Proc. ICG, 2001, v. 002  p. 0066, 42.86, 14.29, 42.85, , , 1547.0, , 
6, GP06-029650, Japanese Patent    AGC (J), 1983, A064243, 49.52, 17.02, 24.61, 8.84, , 1390.0, , 
7, GP06-029651, Japanese Patent    AGC (J), 1983, A064243, 60.97, 22.62, 6.73, 9.67, , 1397.0, , 
8, GP06-029652, Japanese Patent    AGC (J), 1983, A064243, 71.35, 13.18, 6.35, 9.12, , 1313.0, , 
9, GP06-029653, Japanese Patent    AGC (J), 1983, A064243, 58.67, 15.08, 7.95, 18.29, , 1318.0, , 
10, GJ02-032267, J. Australian Ceramic Soc., 1984, v. 020  p. 0053, 74.86, 0.92, , 10.38, 13.84, 978.0, , 
11, GJ02-032268, J. Australian Ceramic Soc., 1984, v. 020  p. 0053, 73.59, 0.92, , 11.66, 13.83, 1004.0, , 
12, GJ02-032269, J. Australian Ceramic Soc., 1984, v. 020  p. 0053, 73.88, 0.8, , 10.91, 14.41, 974.0, , 
13, GJ02-032270, J. Australian Ceramic Soc., 1984, v. 020  p. 0053, 73.96, 0.92, , 10.7, 14.42, 974.0, , 
14, GJ02-032271, J. Australian Ceramic Soc., 1984, v. 020  p. 0053, 73.75, 0.92, , 10.6, 14.73, 964.0, , 
15, GJ02-032272, J. Australian Ceramic Soc., 1984, v. 020  p. 0053, 73.68, 0.92, , 10.38, 15.02, 956.0, , 
16, GJ03-032919, Glass & Ceramics, 1988, v. 045  p. 0123, 59.67, 9.66, 7.09, 21.53, 2.04, 1225.0, , 
17, GI09-037490, Proc. ICG, 1986, v. 001  p. 0379, 71.53, , , 11.87, 16.6, 1001.0, , 
18, GI09-037491, Proc. ICG, 1986, v. 001  p. 0379, 75.78, , , 7.57, 16.65, 1066.0, , 
19, GI09-037492, Proc. ICG, 1986, v. 001  p. 0379, 69.27, , , 16.13, 14.6, 1090.0, , 
20, GJ03-041022, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 80.3, 2.5, , 17.2, , 1342.0, , 
21, GJ03-041023, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 72.5, 3.9, , 23.6, , 1230.0, , 
22, GJ03-041024, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 69.2, 4.9, , 25.9, , 1130.0, , 
23, GJ03-041025, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 67.8, 5.6, , 26.6, , 1013.0, , 
24, GJ03-041026, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 65.4, 6.8, , 27.8, , 929.0, , 
25, GJ03-041032, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 77.8, 2.1, , 18.0, 2.1, 1260.0, , 
26, GJ03-041033, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 77.4, 3.1, , 16.7, 2.8, 1043.0, , 
27, GJ03-041034, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 72.9, 4.2, , 19.2, 3.7, 929.0, , 
28, GJ03-041035, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 73.29, 5.02, , 17.07, 4.62, 805.0, , 
29, GJ03-041036, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 68.0, 6.0, , 20.0, 6.0, 740.0, , 
30, GJ03-041055, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 83.0, , , 17.0, , 2041.0, , 
31, GJ03-041056, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 82.0, , , 18.0, , 2022.0, , 
32, GJ03-041057, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 81.0, , , 19.0, , 2003.0, , 
33, GJ03-041058, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 80.0, , , 20.0, , 1984.0, , 
34, GJ03-041059, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 79.0, , , 21.0, , 1962.0, , 
35, GJ02-046451, J. Non-Crystalline Solids, 1983, v. 057  p. 0465, 66.69, , , , 33.31, 874.0, , 
36, GJ02-046452, J. Non-Crystalline Solids, 1983, v. 057  p. 0465, 70.74, , , , 29.25, 865.0, , 
37, GJ02-046453, J. Non-Crystalline Solids, 1983, v. 057  p. 0465, 74.99, , , , 25.01, 811.0, , 
38, GJ02-046454, J. Non-Crystalline Solids, 1983, v. 057  p. 0465, 79.9, , , , 20.09, 1130.0, , 
39, GJ02-046455, J. Non-Crystalline Solids, 1983, v. 057  p. 0465, 85.0, , , , 15.0, 1346.0, , 
40, GP03-048551, Japanese Patent    Corning Inc. (US), 1980, A003390, 64.99, 8.93, , 26.08, , 1139.0, , 
41, GP03-048562, Japanese Patent    Corning Inc. (US), 1980, A003390, 65.1, 8.93, , 25.97, , 1076.0, , 
42, GP02-049290, Japanese Patent    AGC (J), 1979, A040815, 72.13, 1.16, 5.89, 7.41, 13.41, 980.0, , 
43, GJ02-053229, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 80.81, , , 3.48, 15.71, 1240.0, , 
44, GJ02-053230, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 78.89, , , 5.25, 15.85, 1230.0, , 
45, GJ02-053231, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 78.84, , , 3.21, 17.95, 1120.0, , 
46, GJ02-053232, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 75.33, , , 9.9, 14.76, 1100.0, , 
47, GJ02-053233, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 74.28, , , 13.88, 11.84, 1140.0, , 
48, GJ02-053234, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 73.87, , , 11.41, 14.72, 1000.0, , 
49, GJ02-053235, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 73.79, , , 2.33, 23.87, 780.0, , 
50, GJ02-053236, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 71.69, , , 14.61, 13.7, 1050.0, , 
51, GJ02-053237, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 71.14, , , 17.22, 11.64, 1125.0, , 
52, GJ02-053238, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 70.67, , , 6.98, 22.35, 860.0, , 
53, GJ02-053239, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 69.7, , , 15.82, 14.48, 1075.0, , 
54, GJ02-053240, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 67.99, , , 10.2, 21.81, 950.0, , 
55, GJ02-053241, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 67.75, , , 3.53, 28.72, 870.0, , 
56, GJ02-053242, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 66.46, , , 22.4, 11.13, 1200.0, , 
57, GJ02-053243, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 66.35, , , 12.61, 21.04, 1092.0, , 
58, GJ02-053244, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 65.47, , , 21.12, 13.4, 1180.0, , 
59, GJ02-053245, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 65.66, , , 17.07, 17.27, 1083.0, , 
60, GJ02-053246, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 66.03, , , 5.92, 28.05, 920.0, , 
61, GJ02-053247, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 64.84, , , 9.08, 26.08, 1005.0, , 
62, GJ02-053248, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 63.89, , , 15.62, 20.49, 995.0, , 
63, GJ02-053249, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 63.26, , , 13.12, 23.62, 1060.0, , 
64, GJ02-053250, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 62.38, , , 20.9, 16.71, 1150.0, , 
65, GJ02-053251, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 59.54, , , 16.06, 24.4, 1020.0, , 
66, GJ02-053252, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 59.62, , , 21.34, 19.05, 1050.0, , 
67, GJ02-053253, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 58.98, , , 3.29, 37.73, 950.0, , 
68, GJ02-053254, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 57.18, , , 6.22, 36.61, 1010.0, , 
69, GJ02-053255, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 55.96, , , 21.02, 23.02, 1210.0, , 
70, GJ02-053256, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 56.39, , , 10.53, 33.07, 1120.0, , 
71, GJ02-053257, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 54.42, , , 13.7, 31.88, 1150.0, , 
72, GJ02-053258, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 51.91, , , 21.13, 26.96, 1225.0, , 
