"xi", "ai", "Std. Error", "t Value"
"SiO2", "1.243E+03", "1.309E+01", "9.493E+01"
"B2O3", "7.959E+02", "3.110E+01", "2.559E+01"
"Al2O3", "2.220E+03", "7.280E+01", "3.050E+01"
"MgO", "3.046E+03", "2.614E+02", "1.165E+01"
"CaO", "1.416E+03", "4.579E+01", "3.092E+01"
"Na2O", "1.359E+03", "1.011E+02", "1.344E+01"
"MnO", "6.016E+02", "7.584E+01", "7.932"
"FeO", "7.844E+02", "2.251E+02", "3.485"
"NiO", "7.131E+02", "2.246E+02", "3.175"
"ZnO", "1.341E+03", "1.467E+02", "9.143"
"PbO", "4.010E+02", "3.269E+01", "1.227E+01"
"Cr2O3", "1.567E+04", "3.526E+03", "4.444"
"Fe2O3", "8.384E+02", "9.581E+02", "8.750E-01"
"ZrO2", "2.925E+03", "8.323E+01", "3.514E+01"
"SO3", "-2.293E+03", "6.435E+02", "-3.564"
"BaO", "2.586E+03", "2.626E+02", "9.847"
"Li2O", "1.394E+03", "9.542E+01", "1.461E+01"
"K2O", "7.633E+02", "1.343E+02", "5.683"
"SrO", "-1.276E+03", "5.800E+02", "-2.201"
"Ga2O3", "1.177E+03", "8.228E+01", "1.431E+01"
"As2O3", "3.054E+02", "9.638E+01", "3.169"
"Y2O3", "1.799E+03", "1.167E+02", "1.542E+01"
"Sb2O3", "-1.431E+04", "4.138E+04", "-3.459E-01"
"La2O3", "1.106E+03", "5.380E+02", "2.055"
"Nd2O3", "2.872E+03", "1.273E+03", "2.256"
"Gd2O3", "1.818E+03", "2.287E+02", "7.948"
"Bi2O3", "5.561E+02", "8.321E+01", "6.683"
"TiO2", "1.817E+03", "4.773E+01", "3.807E+01"
"GeO2", "1.102E+03", "2.541E+01", "4.336E+01"
"CeO2", "7.325E+03", "8.221E+02", "8.91"
"SnO2", "3.605E+03", "2.556E+03", "1.411"
"P2O5", "8.357E+02", "4.527E+01", "1.846E+01"
"Nb2O5", "1.686E+03", "6.622E+02", "2.546"
"Ta2O5", "-4.087E+02", "3.370E+02", "-1.213"
"WO3", "2.950E+02", "8.504E+01", "3.469"
"NaF", "4.055E+02", "9.061E+01", "4.475"
"CaF2", "-6.129E+02", "6.378E+02", "-9.611E-01"
"SrF2", "1.964E+03", "5.679E+02", "3.458"
"BaF2", "1.497E+03", "1.166E+02", "1.285E+01"
"ZnF2", "2.575E+03", "1.392E+03", "1.85"
"AlF3", "8.495E+02", "3.781E+02", "2.247"
"GaF3", "-1.649E+02", "3.317E+02", "-4.971E-01"
"InF3", "-1.729E+03", "9.955E+02", "-1.737"
"YbF3", "8.725", "1.030E+03", "8.472E-03"
"ZrF4", "1.349E+02", "7.045E+01", "1.915"
"F", "5.968E+02", "1.206E+02", "4.948"
"Al", "8.484E+02", "2.141E+02", "3.962"
"Cl", "2.715E+02", "1.581E+02", "1.717"
"Ni", "1.471E+03", "9.328E+01", "1.577E+01"
"Cu", "9.944E+02", "1.053E+02", "9.44"
"Ge", "1.093E+03", "5.439E+01", "2.010E+01"
"Se", "3.005E+02", "3.496E+01", "8.595"
"Zr", "8.251E+02", "6.998E+01", "1.179E+01"
