No., Glass No., Data Source, Year, Data Source Number, SiO2, Al2O3, MgO, CaO, Na2O, SO3, Viscocity at 1000C ( dPa.s )
1, GJ02-000026, Glass Science and Technology, 1983, v. 056  p. 0125, 66.2, 1.81, 4.74, 7.15, 13.63, 0.07, 2064.0
2, GB02-004637, Handbook of Glass Properties, 1986, v. 001  p. 0268, 60.0, , , , 20.0, , 1000.0
3, GB02-004645, Handbook of Glass Properties, 1986, v. 001  p. 0266, 70.0, , , , 20.0, , 1000.0
4, GB02-004646, Handbook of Glass Properties, 1986, v. 001  p. 0266, 60.0, , , , 20.0, , 1000.0
5, GB02-004647, Handbook of Glass Properties, 1986, v. 001  p. 0266, 60.0, , , , 30.0, , 1000.0
6, GB04-004648, Handbook of Glass Properties, 1986, v. 001  p. 0264, 52.3, , , , 9.0, , 20.89
7, GB04-004649, Handbook of Glass Properties, 1986, v. 001  p. 0264, 55.4, , , , 9.1, , 31.62
8, GB04-004650, Handbook of Glass Properties, 1986, v. 001  p. 0264, 54.6, , , , 12.2, , 38.9
9, GB04-004651, Handbook of Glass Properties, 1986, v. 001  p. 0264, 56.7, , , , 13.7, , 54.95
10, GB04-004652, Handbook of Glass Properties, 1986, v. 001  p. 0264, 57.8, , , , 15.3, , 63.1
11, GB04-004653, Handbook of Glass Properties, 1986, v. 001  p. 0264, 57.5, , , , 18.4, , 74.13
12, GB02-004654, Handbook of Glass Properties, 1986, v. 001  p. 0264, 60.8, , , , 19.6, , 147.9
13, GB02-004655, Handbook of Glass Properties, 1986, v. 001  p. 0264, 63.2, , , , 26.6, , 302.0
14, GB02-005051, Handbook of Glass Properties, 1986, v. 001  p. 0233, 80.0, , , , 20.0, , 8913.0
15, GB02-005052, Handbook of Glass Properties, 1986, v. 001  p. 0233, 75.0, , , , 25.0, , 4467.0
16, GB02-005053, Handbook of Glass Properties, 1986, v. 001  p. 0233, 70.0, , , , 30.0, , 1995.0
17, GB02-005054, Handbook of Glass Properties, 1986, v. 001  p. 0233, 65.0, , , , 35.0, , 1000.0
18, GB02-005055, Handbook of Glass Properties, 1986, v. 001  p. 0233, 60.0, , , , 40.0, , 446.7
19, GB02-005056, Handbook of Glass Properties, 1986, v. 001  p. 0233, 55.0, , , , 45.0, , 125.9
20, GB02-005057, Handbook of Glass Properties, 1986, v. 001  p. 0233, 50.0, , , , 50.0, , 35.48
21, GB02-005239, Handbook of Glass Properties, 1986, v. 001  p. 0270, 70.9, , , 11.7, , , 50120.0
22, GJ06-008133, American Ceramic Soc. Bull., 1985, v. 064  p. 1459, 55.56, 22.22, 22.22, , , , 6309573.0
23, GJ05-010069, J. American Ceramic Soc., 1974, v. 057  p. 0109, 72.44, , , , 7.02, , 10000.0
24, GB02-013667, Handbook of Glass Data, 1987, v. 00C  p. 0032, 80.0, , , , 10.0, , 9772.0
25, GB02-013668, Handbook of Glass Data, 1987, v. 00C  p. 0032, 80.0, , , , 10.0, , 12300.0
26, GJ35-015321, Glass Science and Technology, 1981, v. 054  p. 0279, , 8.0, , , , , 2512.0
27, GJ35-015322, Glass Science and Technology, 1981, v. 054  p. 0279, , 9.0, , , , , 10000.0
28, GJ35-015337, Glass Science and Technology, 1981, v. 054  p. 0279, , 8.0, , , , , *
29, GJ35-015338, Glass Science and Technology, 1981, v. 054  p. 0279, , 10.0, , , , , *
30, GJ35-015343, Glass Science and Technology, 1981, v. 054  p. 0279, , 8.0, , , 12.0, , *
31, GJ35-015345, Glass Science and Technology, 1981, v. 054  p. 0279, , 10.0, , , 10.0, , *
32, GJ35-015347, Glass Science and Technology, 1981, v. 054  p. 0279, , 12.0, , , 8.0, , *
33, GJ35-015356, Glass Science and Technology, 1981, v. 054  p. 0279, , , , , 10.0, , 10.0
34, GJ35-015357, Glass Science and Technology, 1981, v. 054  p. 0279, , 3.0, , , 8.5, , 25.12
35, GJ35-015358, Glass Science and Technology, 1981, v. 054  p. 0279, , 6.0, , , 7.0, , 100.0
36, GJ35-015359, Glass Science and Technology, 1981, v. 054  p. 0279, , 8.0, , , 6.0, , 562.3
37, GJ35-015361, Glass Science and Technology, 1981, v. 054  p. 0279, , 10.0, , , 5.0, , 19950.0
38, GJ35-015363, Glass Science and Technology, 1981, v. 054  p. 0279, , 12.0, , , 4.0, , 100000.0
39, GJ35-015379, Glass Science and Technology, 1981, v. 054  p. 0279, , 11.25, , , , , *
40, GB02-017216, Handbook of Glass Data, 1987, v. 00C  p. 0176, 73.85, , , 10.76, 15.38, , 10000.0
41, GB02-017217, Handbook of Glass Data, 1987, v. 00C  p. 0176, 73.46, , , 13.12, 13.42, , 10000.0
42, GB02-017218, Handbook of Glass Data, 1987, v. 00C  p. 0176, 77.63, , , , 17.57, , 10000.0
43, GB02-017221, Handbook of Glass Data, 1987, v. 00C  p. 0176, 79.48, , , , 15.61, , 10000.0
44, GB02-017224, Handbook of Glass Data, 1987, v. 00C  p. 0176, 78.25, , , , 14.34, , 10000.0
45, GB02-017225, Handbook of Glass Data, 1987, v. 00C  p. 0176, 75.26, , , , 14.7, , 10000.0
46, GB02-017228, Handbook of Glass Data, 1987, v. 00C  p. 0187, 75.0, , , 10.0, 15.0, , 10000.0
47, GB02-017237, Handbook of Glass Data, 1987, v. 00C  p. 0187, 65.0, , , 5.0, 30.0, , 1000.0
48, GB02-017243, Handbook of Glass Data, 1987, v. 00C  p. 0187, 50.0, , , 25.0, 25.0, , 1000.0
49, GB02-017244, Handbook of Glass Data, 1987, v. 00C  p. 0188, 80.0, , , , 20.0, , 10000.0
50, GB02-017249, Handbook of Glass Data, 1987, v. 00C  p. 0188, 70.0, , 10.0, , 20.0, , 10000.0
51, GB02-017251, Handbook of Glass Data, 1987, v. 00C  p. 0188, 60.0, , 10.0, , 30.0, , 1000.0
52, GB02-017253, Handbook of Glass Data, 1987, v. 00C  p. 0188, 60.0, , , 20.0, 20.0, , 1000.0
53, GB02-017257, Handbook of Glass Data, 1987, v. 00C  p. 0188, 60.0, , , , 30.0, , 1000.0
